date,sessions
2015-12-15,356
2015-12-16,297
2015-12-17,207
2015-12-18,178
2015-12-19,1
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,0
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,1
2016-01-06,0
2016-01-07,3
2016-01-08,1
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,1
2016-01-13,1
2016-01-14,0
2016-01-15,0
2016-01-16,4
2016-01-17,3
2016-01-18,10
2016-01-19,534
2016-01-20,726
2016-01-21,684
2016-01-22,545
2016-01-23,151
2016-01-24,229
2016-01-25,725
2016-01-26,677
2016-01-27,662
2016-01-28,641
2016-01-29,527
2016-01-30,175
2016-01-31,227
2016-02-01,775
2016-02-02,722
2016-02-03,749
2016-02-04,702
2016-02-05,569
2016-02-06,179
2016-02-07,210
2016-02-08,816
2016-02-09,701
2016-02-10,762
2016-02-11,691
2016-02-12,473
2016-02-13,125
2016-02-14,110
2016-02-15,13
2016-02-16,806
2016-02-17,796
2016-02-18,789
2016-02-19,467
2016-02-20,169
2016-02-21,242
2016-02-22,732
2016-02-23,631
2016-02-24,659
2016-02-25,638
2016-02-26,444
2016-02-27,119
2016-02-28,186
2016-02-29,665
2016-03-01,666
2016-03-02,620
2016-03-03,586
2016-03-04,477
2016-03-05,111
2016-03-06,182
2016-03-07,579
2016-03-08,615
2016-03-09,588
2016-03-10,577
2016-03-11,415
2016-03-12,114
2016-03-13,133
2016-03-14,636
2016-03-15,627
2016-03-16,692
2016-03-17,623
2016-03-18,184
2016-03-19,5
2016-03-20,2
2016-03-21,1
2016-03-22,5
2016-03-23,3
2016-03-24,4
2016-03-25,3
2016-03-26,7
2016-03-27,11
2016-03-28,690
2016-03-29,599
2016-03-30,638
2016-03-31,578
2016-04-01,613
2016-04-02,152
2016-04-03,173
2016-04-04,667
2016-04-05,614
2016-04-06,539
2016-04-07,578
2016-04-08,404
2016-04-09,103
2016-04-10,145
2016-04-11,606
2016-04-12,667
2016-04-13,666
2016-04-14,594
2016-04-15,409
2016-04-16,88
2016-04-17,133
2016-04-18,661
2016-04-19,622
2016-04-20,602
2016-04-21,611
2016-04-22,474
2016-04-23,127
2016-04-24,157
2016-04-25,806
2016-04-26,629
2016-04-27,605
2016-04-28,692
2016-04-29,452
2016-04-30,95
2016-05-01,128
2016-05-02,395
2016-05-03,357
2016-05-04,391
2016-05-05,381
2016-05-06,399
2016-05-07,157
2016-05-08,169
2016-05-09,508
2016-05-10,380
2016-05-11,321
2016-05-12,339
2016-05-13,138
2016-05-14,4
2016-05-15,5
2016-05-16,6
2016-05-17,4
2016-05-18,5
2016-05-19,6
2016-05-20,8
2016-05-21,3
2016-05-22,4
2016-05-23,2
2016-05-24,2
2016-05-25,5
2016-05-26,5
2016-05-27,4
2016-05-28,4
2016-05-29,4
2016-05-30,2
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,0
2016-06-09,1
2016-06-10,3
2016-06-11,2
2016-06-12,1
2016-06-13,0
2016-06-14,1
2016-06-15,1
2016-06-16,1
2016-06-17,3
2016-06-18,1
2016-06-19,2
2016-06-20,1
2016-06-21,2
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,2
2016-06-26,1
2016-06-27,1
2016-06-28,1
2016-06-29,1
2016-06-30,1
2016-07-01,2
2016-07-02,1
2016-07-03,2
2016-07-04,0
2016-07-05,2
2016-07-06,2
2016-07-07,2
2016-07-08,5
2016-07-09,6
2016-07-10,4
2016-07-11,2
2016-07-12,3
2016-07-13,3
2016-07-14,3
2016-07-15,2
